Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-02-12,LTC,171520,84304,86118,5902599,4195417,1666776,63830,143061,78016,null,null,86118,4195417,1666777,78016
Admin,2021-02-13,US,1420526,845827,557651,59405187,42071314,16494148,964471,1745636,763729,null,null,557695,42071314,16495538,763772
Report,2021-02-13,US,null,null,null,null,null,null,null,null,null,2231326,1657703,null,null,null,null
Admin,2021-02-13,LTC,85373,42615,42281,5987972,4238032,1709057,61253,139391,76968,null,null,42281,4238032,1709058,76967
Admin,2021-02-14,US,563724,334453,219862,59968911,42405767,16714010,972698,1764466,773942,null,null,219871,42405767,16715409,773984
Report,2021-02-14,US,null,null,null,null,null,null,null,null,null,2242472,1667631,null,null,null,null
Admin,2021-02-14,LTC,53843,25053,27986,6041815,4263085,1737043,60523,137728,76001,null,null,27986,4263085,1737044,76000
Admin,2021-02-15,US,1119683,599319,501485,61088594,43005086,17215495,941460,1710480,750623,null,null,501540,43005086,17216949,750668
Report,2021-02-15,US,null,null,null,null,null,null,null,null,null,1376214,1691850,null,null,null,null
Admin,2021-02-15,LTC,105716,38395,66576,6147531,4301480,1803619,55541,129730,73077,null,null,66576,4301480,1803620,73077
Admin,2021-02-16,US,1563696,786263,755306,62652290,43791349,17970801,908331,1664788,737217,null,null,755344,43791349,17972293,737261
Report,2021-02-16,US,null,null,null,null,null,null,null,null,null,959794,1716311,null,null,null,null
Admin,2021-02-16,LTC,113328,42344,70029,6260859,4343824,1873648,50907,121731,69781,null,null,70029,4343824,1873649,69780
Admin,2021-02-17,US,1900711,921529,956096,64553001,44712878,18926897,868797,1622199,733419,null,null,956151,44712878,18928444,733464
Report,2021-02-17,US,null,null,null,null,null,null,null,null,null,1061463,1644551,null,null,null,null
Admin,2021-02-17,LTC,117841,40658,75841,6378700,4384482,1949489,47985,115360,66413,null,null,75841,4384482,1949490,66413
Admin,2021-02-18,US,1779628,820059,932482,66332629,45532937,19859379,807817,1547352,718567,null,null,932559,45532937,19861003,718615
Report,2021-02-18,US,null,null,null,null,null,null,null,null,null,1455940,1621071,null,null,null,null
Admin,2021-02-18,LTC,111676,36782,73318,6490376,4421264,2022807,44307,108471,63164,null,null,73318,4421264,2022808,63164
Admin,2021-02-19,US,1888365,818248,1042833,68220994,46351185,20902212,732243,1462333,709388,null,null,1042978,46351185,20903981,709448
Report,2021-02-19,US,null,null,null,null,null,null,null,null,null,1847276,1596355,null,null,null,null
Admin,2021-02-19,LTC,111952,37371,73166,6602328,4458635,2095973,37603,99961,61314,null,null,73166,4458635,2095974,61313
Admin,2021-02-20,US,1258772,591869,650440,69479766,46943054,21552652,695963,1439225,722643,null,null,650477,46943054,21554458,722702
Report,2021-02-20,US,null,null,null,null,null,null,null,null,null,1704457,1521088,null,null,null,null
Admin,2021-02-20,LTC,60610,19359,40655,6662938,4477994,2136628,34280,96423,61082,null,null,40655,4477994,2136629,61081
Admin,2021-02-21,US,554853,242251,302957,70034619,47185305,21855609,682791,1437958,734514,null,null,302998,47185305,21857456,734578
Report,2021-02-21,US,null,null,null,null,null,null,null,null,null,1801134,1458040,null,null,null,null
Admin,2021-02-21,LTC,42311,12807,29004,6705249,4490801,2165632,32531,94776,61227,null,null,29004,4490801,2165633,61227
Admin,2021-02-22,US,1393717,609868,757558,71428336,47795173,22613167,684298,1477106,771096,null,null,757635,47795173,22615091,771163
Report,2021-02-22,US,null,null,null,null,null,null,null,null,null,1086840,1416701,null,null,null,null
Admin,2021-02-22,LTC,94386,29205,64289,6799635,4520006,2229921,31218,93157,60900,null,null,64289,4520006,2229922,60900
Admin,2021-02-23,US,1856608,856290,967648,73284944,48651463,23580815,694302,1518950,801431,null,null,967713,48651463,23582804,801501
Report,2021-02-23,US,null,null,null,null,null,null,null,null,null,854609,1401674,null,null,null,null
Admin,2021-02-23,LTC,93398,29908,62491,6893033,4549914,2292412,29441,90310,59823,null,null,62491,4549914,2292413,59823
Admin,2021-02-24,US,2414611,1221556,1162196,75699555,49873019,24743011,737163,1592364,830873,null,null,1162317,49873019,24745121,830953
Report,2021-02-24,US,null,null,null,null,null,null,null,null,null,1432864,1454731,null,null,null,null
Admin,2021-02-24,LTC,105385,38083,66513,6998418,4587997,2358925,29074,88531,58491,null,null,66513,4587997,2358926,58490
Admin,2021-02-25,US,2801048,1502496,1259677,78500603,51375515,26002688,834654,1738282,877616,null,null,1259862,51375515,26004983,877711
Report,2021-02-25,US,null,null,null,null,null,null,null,null,null,1809170,1505193,null,null,null,null
Admin,2021-02-25,LTC,110443,42038,67432,7108861,4630035,2426357,29824,88355,57650,null,null,67432,4630035,2426358,57650
Admin,2021-02-26,US,2975521,1641234,1301202,81476124,53016749,27303890,952223,1893590,914525,null,null,1301298,53016749,27306281,914614
Report,2021-02-26,US,null,null,null,null,null,null,null,null,null,2179947,1552717,null,null,null,null
Admin,2021-02-26,LTC,70242,22433,46749,7179103,4652468,2473106,27690,82396,53876,null,null,46749,4652468,2473107,53876
Admin,2021-02-27,US,1908608,1115793,771538,83384732,54132542,28075428,1027070,1986423,931825,null,null,771813,54132542,28078094,931948
Report,2021-02-27,US,null,null,null,null,null,null,null,null,null,2352116,1645240,null,null,null,null
Admin,2021-02-27,LTC,42479,13160,28806,7221582,4665628,2501912,26805,79806,52183,null,null,28806,4665628,2501913,52183
Admin,2021-02-28,US,803684,519557,271595,84188416,54652099,28347023,1066685,2021971,927345,null,null,271644,54652099,28349738,927468
Report,2021-02-28,US,null,null,null,null,null,null,null,null,null,2429823,1735053,null,null,null,null
Admin,2021-02-28,LTC,21662,6260,15095,7243244,4671888,2517007,25870,76856,50196,null,null,15095,4671888,2517008,50196
Admin,2021-03-01,US,1831044,1090024,713601,86019460,55742123,29060624,1135279,2084446,921065,null,null,714469,55742123,29064207,921302
Report,2021-03-01,US,null,null,null,null,null,null,null,null,null,1663984,1817502,null,null,null,null
Admin,2021-03-01,LTC,37759,12818,24546,7281003,4684706,2541553,23529,68766,44519,null,null,24546,4684706,2541554,44518
